observed_on_details.date,species_guess,public_positional_accuracy,quality_metrics,taxon.name,geojson.coordinates,owners_identification_from_vision,identifications_count,num_identification_disagreements,location,place_guess,latitude,longitude
2018-09-26,Harlequin Ladybird,38.0,[],Harmonia axyridis,"[-1.9658340216, 52.4679718018]",False,3,0,"[52.4679718018, -1.9658340216]",West Midlands,52.4679718018,-1.9658340216
2022-05-08,Harlequin Ladybird,24.0,[],Harmonia axyridis,"[-1.2456368279, 51.7523019628]",True,1,0,"[51.7523019628, -1.2456368279]","Magdalen College, Oxford, England, GB",51.7523019628,-1.2456368279
2022-06-14,Harlequin Ladybird,106.0,[],Harmonia axyridis,"[-1.2393059899, 51.7540385796]",True,1,0,"[51.7540385796, -1.2393059899]","Angel And Greyhound Meadow, Oxford, England, GB",51.7540385796,-1.2393059899
2021-06-10,Asian Lady Beetle,8.0,[],Harmonia axyridis,"[1.2808833333, 52.6301833333]",,3,0,"[52.6301833333, 1.2808833333]","Earlham Road, Norwich, England, GB",52.6301833333,1.2808833333
2021-03-30,Harlequin Ladybird,,[],Harmonia axyridis,"[-2.9277816987, 53.3642605044]",True,1,0,"[53.3642605044, -2.9277816987]","Liverpool, GB",53.3642605044,-2.9277816987
2022-05-17,Asian Lady Beetle,4.0,[],Harmonia axyridis,"[-0.2930216667, 51.4732966667]",False,2,0,"[51.4732966667, -0.2930216667]","Kew Gardens, Richmond, England, GB",51.4732966667,-0.2930216667
2022-06-11,Asian Lady Beetle,,[],Harmonia axyridis,"[0.1337452978, 52.2297439575]",False,2,0,"[52.2297439575, 0.1337452978]","King's Hedges, Cambridge CB4, UK",52.2297439575,0.1337452978
2021-07-02,Harlequin Ladybird,31.0,[],Harmonia axyridis,"[0.6377268174, 52.3046512366]",True,1,0,"[52.3046512366, 0.6377268174]","Suffolk, UK",52.3046512366,0.6377268174
2022-05-20,Harlequin Ladybird,24.0,[],Harmonia axyridis,"[-1.2468571658, 51.7522670479]",False,1,0,"[51.7522670479, -1.2468571658]","Magdalen College, Oxford, England, GB",51.7522670479,-1.2468571658
2019-07-04,Harlequin Ladybird,713.0,[],Harmonia axyridis,"[-3.5646419738, 50.9574061871]",False,1,0,"[50.9574061871, -3.5646419738]","Devon, UK rifton woods",50.9574061871,-3.5646419738
2021-08-15,Asian Lady Beetle,140.0,[],Harmonia axyridis,"[-1.4212366667, 52.2168283333]",False,1,0,"[52.2168283333, -1.4212366667]","Hambridge Road, Southam, England, GB",52.2168283333,-1.4212366667
2020-06-19,Asian Lady Beetle,4341.0,[],Harmonia axyridis,"[-0.2642200515, 52.08692936]",True,2,0,"[52.08692936, -0.2642200515]",Biggleswade,52.08692936,-0.2642200515
2020-05-06,Asian Lady Beetle,65.0,[],Harmonia axyridis,"[-0.240405, 51.4989666667]",True,1,0,"[51.4989666667, -0.240405]","Ravenscourt Park, London, England, GB",51.4989666667,-0.240405
2022-11-10,Asian Lady Beetle,4.0,[],Harmonia axyridis,"[-0.22987, 50.8408966667]",True,1,0,"[50.8408966667, -0.22987]","Mile Oak Road, Brighton, England, GB",50.8408966667,-0.22987
2021-11-09,Asian Lady Beetle,122.0,[],Harmonia axyridis,"[-0.281734274, 54.1888626893]",False,1,0,"[54.1888626893, -0.281734274]","Primrose Valley, Filey YO14, UK",54.1888626893,-0.281734274
2021-06-10,Harlequin Ladybird,15.0,[],Harmonia axyridis,"[1.2646880662, 52.0619964105]",True,1,0,"[52.0619964105, 1.2646880662]","Martlesham Heath, Martlesham, Ipswich, UK",52.0619964105,1.2646880662
2020-08-18,Asian Lady Beetle,10.0,[],Harmonia axyridis,"[-0.9810055556, 50.9689611111]",False,2,0,"[50.9689611111, -0.9810055556]","Hampshire, UK",50.9689611111,-0.9810055556
2022-11-13,Asian Lady Beetle,26132.0,[],Harmonia axyridis,"[-8.5280595451, 51.9149977797]",True,1,0,"[51.9149977797, -8.5280595451]","Cork, IE",51.9149977797,-8.5280595451
2021-07-21,Harlekin-Marienkäfer,60.0,[],Harmonia axyridis,"[-0.1300833333, 51.5025216667]",True,1,0,"[51.5025216667, -0.1300833333]","St James's Park, London, England, GB",51.5025216667,-0.1300833333
2019-08-03,Harlekin-Marienkäfer,5.0,[],Harmonia axyridis,"[-0.5673011405, 51.3022869549]",False,2,0,"[51.3022869549, -0.5673011405]","Woking, UK",51.3022869549,-0.5673011405
2019-08-03,Harlekin-Marienkäfer,5.0,[],Harmonia axyridis,"[-0.5673011405, 51.3022869549]",False,1,0,"[51.3022869549, -0.5673011405]","Woking, UK",51.3022869549,-0.5673011405
2019-08-03,Harlekin-Marienkäfer,5.0,[],Harmonia axyridis,"[-0.5673011405, 51.3022869549]",False,2,0,"[51.3022869549, -0.5673011405]","Woking, UK",51.3022869549,-0.5673011405
2021-05-24,Coccinelle asiatique,646.0,[],Harmonia axyridis,"[-2.8407376494, 54.1959330963]",True,1,0,"[54.1959330963, -2.8407376494]","Arnside LA5, UK",54.1959330963,-2.8407376494
2021-06-17,Harlekin-Marienkäfer,15.0,[],Harmonia axyridis,"[1.2619301914, 52.0603664939]",True,1,0,"[52.0603664939, 1.2619301914]","Kesgrave, Ipswich, UK",52.0603664939,1.2619301914
2020-06-15,Asian Lady Beetle,4.0,[],Harmonia axyridis,"[-2.4080476094, 51.745776112]",True,1,0,"[51.745776112, -2.4080476094]","Gloucestershire, UK",51.745776112,-2.4080476094
2021-07-12,Harlekin-Marienkäfer,1196.0,[],Harmonia axyridis,"[-2.2329205647, 53.4332454523]",False,1,0,"[53.4332454523, -2.2329205647]",Withington,53.4332454523,-2.2329205647
2022-05-18,Coccinelle asiatique,34.0,[],Harmonia axyridis,"[0.0242706388, 51.5426690175]",False,4,1,"[51.5426690175, 0.0242706388]","Forest Gate, London, UK",51.5426690175,0.0242706388
2022-05-06,Harlekin-Marienkäfer,14.0,[],Harmonia axyridis,"[0.0242206827, 51.542635863]",False,1,0,"[51.542635863, 0.0242206827]",E7 9NJ,51.542635863,0.0242206827
2022-05-28,Harlekin-Marienkäfer,25.0,[],Harmonia axyridis,"[-2.6609166667, 53.5898966667]",True,1,0,"[53.5898966667, -2.6609166667]","Broomfield Road, Wigan, England, GB",53.5898966667,-2.6609166667
2021-07-09,Harlekin-Marienkäfer,5.0,[],Harmonia axyridis,"[-2.7577305556, 53.3597861111]",True,1,0,"[53.3597861111, -2.7577305556]","Widnes, UK",53.3597861111,-2.7577305556
2021-06-20,Harlekin-Marienkäfer,24.0,[],Harmonia axyridis,"[-1.2385738932, 51.7525577125]",,2,0,"[51.7525577125, -1.2385738932]","Cherwell St, Oxford, England, GB",51.7525577125,-1.2385738932
2018-06-05,Harlekin-Marienkäfer,,[],Harmonia axyridis,"[-1.2927777778, 53.5955555556]",True,2,0,"[53.5955555556, -1.2927777778]","South Elmsall, UK",53.5955555556,-1.2927777778
2018-04-09,Harlequin Ladybird,,[],Harmonia axyridis,"[-1.2925, 53.5955555556]",True,4,1,"[53.5955555556, -1.2925]","South Elmsall, UK",53.5955555556,-1.2925
2021-08-15,Asian Lady Beetle,994.0,[],Harmonia axyridis,"[-1.8931188807, 52.4324462508]",True,4,1,"[52.4324462508, -1.8931188807]",Kings Heath,52.4324462508,-1.8931188807
2022-06-01,Asian Lady Beetle,14.0,[],Harmonia axyridis,"[-1.61153, 55.0064583333]",False,1,0,"[55.0064583333, -1.61153]","Church Lane, Newcastle Upon Tyne, England, GB",55.0064583333,-1.61153
2022-06-04,Asian Lady Beetle,8.0,[],Harmonia axyridis,"[-1.6114616667, 55.0065333333]",False,1,0,"[55.0065333333, -1.6114616667]","Church Lane, Newcastle Upon Tyne, England, GB",55.0065333333,-1.6114616667
2021-06-20,Harlekin-Marienkäfer,262.0,[],Harmonia axyridis,"[-1.9416165724, 52.4123923009]",True,1,0,"[52.4123923009, -1.9416165724]","Birmingham B38, UK",52.4123923009,-1.9416165724
2021-08-05,Asian Lady Beetle,,[],Harmonia axyridis,"[1.08368603, 51.2828085299]",True,1,0,"[51.2828085299, 1.08368603]","The King's Mile, Canterbury CT1, UK",51.2828085299,1.08368603
2022-10-16,Harlekin-Marienkäfer,68.0,[],Harmonia axyridis,"[0.1993157083, 50.7455140808]",False,2,0,"[50.7455140808, 0.1993157083]","East Sussex, UK",50.7455140808,0.1993157083
2021-06-20,Asian Lady Beetle,4.0,[],Harmonia axyridis,"[-1.3613533333, 50.96682]",False,2,0,"[50.96682, -1.3613533333]","Hoddinott Road, Eastleigh, England, GB",50.96682,-1.3613533333
2021-08-02,Harlekin-Marienkäfer,65.0,[],Harmonia axyridis,"[-1.3809883333, 51.0193445]",False,1,0,"[51.0193445, -1.3809883333]","Bunstead Lane, Winchester, England, GB",51.0193445,-1.3809883333
2021-10-09,Божья коровка-арлекин,298.0,[],Harmonia axyridis,"[-1.0520941273, 53.9478664396]",True,1,0,"[53.9478664396, -1.0520941273]","University Of York Campus West Designed Landscape, York, England, GB",53.9478664396,-1.0520941273
2022-07-12,Asian Lady Beetle,,[],Harmonia axyridis,"[-1.9264466667, 54.3859116667]",True,1,0,"[54.3859116667, -1.9264466667]","Yorkshire Dales National Park, Richmond, England, GB",54.3859116667,-1.9264466667
2018-06-20,Asian Lady Beetle,,[],Harmonia axyridis,"[-1.5694366667, 54.21998]",True,1,0,"[54.21998, -1.5694366667]","Thornfield Road, Bedale, England, GB",54.21998,-1.5694366667
2018-07-23,Asian Lady Beetle,,[],Harmonia axyridis,"[-1.5147616667, 54.1576111667]",True,1,0,"[54.1576111667, -1.5147616667]","Hutton Conyers, Ripon, England, GB",54.1576111667,-1.5147616667
2019-07-09,Asian Lady Beetle,,[],Harmonia axyridis,"[-0.3568190931, 51.5236549375]",True,1,0,"[51.5236549375, -0.3568190931]","Greenford, UK",51.5236549375,-0.3568190931
2019-07-05,Asian Lady Beetle,,[],Harmonia axyridis,"[-0.3570765853, 51.5237731933]",True,1,0,"[51.5237731933, -0.3570765853]","Greenford, UK",51.5237731933,-0.3570765853
2019-06-30,Asian Lady Beetle,1.0,[],Harmonia axyridis,"[-0.356948817, 51.5237733216]",True,1,0,"[51.5237733216, -0.356948817]","Greenford, UK",51.5237733216,-0.356948817
2019-06-19,Asian Lady Beetle,,[],Harmonia axyridis,"[-0.3370517789, 51.5366134642]",True,1,0,"[51.5366134642, -0.3370517789]","Perivale, UK",51.5366134642,-0.3370517789
2019-06-18,Asian Lady Beetle,,[],Harmonia axyridis,"[-0.3410521744, 51.5401840208]",True,1,0,"[51.5401840208, -0.3410521744]","Greenford, UK",51.5401840208,-0.3410521744
2019-06-15,Asian Lady Beetle,,[],Harmonia axyridis,"[-0.3744514583, 51.4992599486]",True,1,0,"[51.4992599486, -0.3744514583]","Southall, UK",51.4992599486,-0.3744514583
2019-07-28,Asian Lady Beetle,,[],Harmonia axyridis,"[-0.3801268339, 51.5025787353]",False,2,0,"[51.5025787353, -0.3801268339]","Ealing, England, United Kingdom",51.5025787353,-0.3801268339
2019-04-22,Asian Lady Beetle,,[],Harmonia axyridis,"[-0.356949985, 51.5237655639]",False,4,1,"[51.5237655639, -0.356949985]","Greenford, UK",51.5237655639,-0.356949985
2022-07-13,Asian Lady Beetle,614.0,[],Harmonia axyridis,"[-2.478474, 51.8180695]",True,2,0,"[51.8180695, -2.478474]","Littledean, Cinderford GL14, UK",51.8180695,-2.478474
2022-07-04,Asian Lady Beetle,,[],Harmonia axyridis,"[-0.4279633333, 51.6162933333]",True,1,0,"[51.6162933333, -0.4279633333]","Northwood, UK",51.6162933333,-0.4279633333
2022-06-13,Harlekin-Marienkäfer,2818.0,[],Harmonia axyridis,"[-2.485936, 51.285199]",False,1,0,"[51.285199, -2.485936]","Midsomer Norton, UK",51.285199,-2.485936
2022-08-13,Божья коровка-арлекин,163.0,[],Harmonia axyridis,"[-2.1646019104, 52.468848752]",True,1,0,"[52.468848752, -2.1646019104]","Stourbridge, UK",52.468848752,-2.1646019104
2022-08-02,Asian Lady Beetle,472.0,[],Harmonia axyridis,"[-2.3821659, 51.3589139]",False,1,0,"[51.3589139, -2.3821659]","Odd Down, Bath BA2, UK",51.3589139,-2.3821659
2022-05-22,Asian Lady Beetle,160.0,[],Harmonia axyridis,"[-0.249885, 52.251533]",True,2,0,"[52.251533, -0.249885]","High St, Little Paxton, Saint Neots PE19 6ET, UK",52.251533,-0.249885
2018-06-20,Harlekin-Marienkäfer,12094.0,[],Harmonia axyridis,"[-2.1827407926, 53.0032683819]",True,1,0,"[53.0032683819, -2.1827407926]",Stoke-on-Trent,53.0032683819,-2.1827407926
2018-06-20,Harlekin-Marienkäfer,12094.0,[],Harmonia axyridis,"[-2.1827407926, 53.0032683819]",False,1,0,"[53.0032683819, -2.1827407926]",Stoke-on-Trent,53.0032683819,-2.1827407926
2018-08-16,Asian Lady Beetle,177.0,[],Harmonia axyridis,"[-2.2928352403, 52.3774745405]",True,2,0,"[52.3774745405, -2.2928352403]","Spring Grove, Bewdley DY12 1LF, UK",52.3774745405,-2.2928352403
2021-07-08,Asian Lady Beetle,4.0,[],Harmonia axyridis,"[-0.2855333333, 51.4641416667]",True,4,1,"[51.4641416667, -0.2855333333]","Carrington Road, Richmond, England, GB",51.4641416667,-0.2855333333
2022-05-12,Asian Lady Beetle,3.0,[],Harmonia axyridis,"[-0.285475, 51.4643216667]",True,1,0,"[51.4643216667, -0.285475]","Carrington Road, Richmond, England, GB",51.4643216667,-0.285475
2021-10-09,Asian Lady Beetle,15.0,[],Harmonia axyridis,"[-0.5332571171, 51.3321043125]",False,1,0,"[51.3321043125, -0.5332571171]","Woking, UK",51.3321043125,-0.5332571171
2022-10-15,Asian Lady Beetle,26196.0,[],Harmonia axyridis,"[-0.2551426587, 51.5061520583]",True,1,0,"[51.5061520583, -0.2551426587]","England, GB",51.5061520583,-0.2551426587
2022-05-22,Asian Lady Beetle,176.0,[],Harmonia axyridis,"[-0.3447517, 51.5003804]",True,1,0,"[51.5003804, -0.3447517]","Warren Farm Nature Reserve, Southall UB2 4NE, UK",51.5003804,-0.3447517
2022-04-25,Asian Lady Beetle,176.0,[],Harmonia axyridis,"[-0.3447517, 51.5003804]",True,1,0,"[51.5003804, -0.3447517]","Warren Farm Nature Reserve, Southall UB2 4NE, UK",51.5003804,-0.3447517
2022-10-22,Asian Lady Beetle,,[],Harmonia axyridis,"[-0.1469833333, 51.5779277778]",,2,0,"[51.5779277778, -0.1469833333]","London N6, UK",51.5779277778,-0.1469833333
2022-10-22,Asian Lady Beetle,2.0,[],Harmonia axyridis,"[-0.3495033927, 51.5278083899]",False,2,0,"[51.5278083899, -0.3495033927]","Greenford, UK",51.5278083899,-0.3495033927
2022-10-22,Harlekin-Marienkäfer,2.0,[],Harmonia axyridis,"[-0.349587427, 51.5277665593]",False,2,0,"[51.5277665593, -0.349587427]","Greenford, UK",51.5277665593,-0.349587427
2019-08-18,Asian Lady Beetle,28.0,[],Harmonia axyridis,"[-0.5670981905, 51.3024002499]",False,1,0,"[51.3024002499, -0.5670981905]","Woking, UK",51.3024002499,-0.5670981905
2019-08-18,Asian Lady Beetle,28.0,[],Harmonia axyridis,"[-0.5670981905, 51.3024002499]",False,1,0,"[51.3024002499, -0.5670981905]","Woking, UK",51.3024002499,-0.5670981905
2019-08-18,Asian Lady Beetle,28.0,[],Harmonia axyridis,"[-0.5670981905, 51.3024002499]",False,1,0,"[51.3024002499, -0.5670981905]","Woking, UK",51.3024002499,-0.5670981905
2020-05-26,Asian Lady Beetle,26068.0,[],Harmonia axyridis,"[-1.5923320935, 52.3180508708]",True,1,0,"[52.3180508708, -1.5923320935]","Warwickshire, England, GB",52.3180508708,-1.5923320935
2021-07-18,Asian Lady Beetle,,[],Harmonia axyridis,"[1.08370213, 51.2828085299]",True,1,0,"[51.2828085299, 1.08370213]","The King's Mile, Canterbury CT1, UK",51.2828085299,1.08370213
2021-07-09,Asian Lady Beetle,,[],Harmonia axyridis,"[1.08370213, 51.2828085299]",True,1,0,"[51.2828085299, 1.08370213]","The King's Mile, Canterbury CT1, UK",51.2828085299,1.08370213
2022-07-04,Harlekin-Marienkäfer,8.0,[],Harmonia axyridis,"[-0.3494627929, 51.5277959466]",True,1,0,"[51.5277959466, -0.3494627929]","Greenford, UK",51.5277959466,-0.3494627929
2022-10-12,Asian Lady Beetle,3.0,[],Harmonia axyridis,"[-0.1887, 51.48428]",True,2,0,"[51.48428, -0.1887]","Brompton Cemetery, London, England, GB",51.48428,-0.1887
2022-07-06,Harlekin-Marienkäfer,2838.0,[],Harmonia axyridis,"[-0.2706313604, 51.3338879769]",False,2,0,"[51.3338879769, -0.2706313604]","Epsom, UK",51.3338879769,-0.2706313604
2022-11-16,Asian Lady Beetle,30.0,[],Harmonia axyridis,"[-8.2548133333, 51.922295]",,4,0,"[51.922295, -8.2548133333]","Gortnamucky, Carrigtwohill, Co. Cork, IE",51.922295,-8.2548133333
2022-11-12,Harlekin-Marienkäfer,48.0,[],Harmonia axyridis,"[-3.578145, 50.3520916667]",False,2,0,"[50.3520916667, -3.578145]","Royal Avenue Gardens, Dartmouth, England, GB",50.3520916667,-3.578145
2022-11-12,Asian Lady Beetle,6.0,[],Harmonia axyridis,"[-3.5780216667, 50.3520083333]",False,2,0,"[50.3520083333, -3.5780216667]","Royal Avenue Gardens, Dartmouth, England, GB",50.3520083333,-3.5780216667
2022-07-03,Asian Lady Beetle,148.0,[],Harmonia axyridis,"[1.7005741825, 52.4136793957]",True,3,0,"[52.4136793957, 1.7005741825]","Africa Alive Zoological Reserve, Lowestoft, England, GB",52.4136793957,1.7005741825
2020-10-04,Asian Lady Beetle,162.0,[],Harmonia axyridis,"[-1.6673248261, 51.2394592099]",False,2,0,"[51.2394592099, -1.6673248261]","St Georges Road, Tidworth SP9 7EW, UK",51.2394592099,-1.6673248261
2021-10-21,Asian Lady Beetle,67.0,[],Harmonia axyridis,"[-1.3138284534, 51.0599322099]",False,3,0,"[51.0599322099, -1.3138284534]","Winchester SO23, UK",51.0599322099,-1.3138284534
2022-05-08,Asian Lady Beetle,23.0,[],Harmonia axyridis,"[-0.1234666667, 51.5736783333]",False,3,0,"[51.5736783333, -0.1234666667]","Hillrise Mansions, London, England, GB",51.5736783333,-0.1234666667
2021-11-09,Asian Lady Beetle,99984.0,[],Harmonia axyridis,"[-0.0778563451, 51.7007585668]",,3,0,"[51.7007585668, -0.0778563451]","Adath Yisroel Cemetery, Waltham Cross, England, GB",51.7007585668,-0.0778563451
2021-11-09,Asian Lady Beetle,60712.0,[],Harmonia axyridis,"[-0.1173507109, 51.6407882188]",,2,0,"[51.6407882188, -0.1173507109]","Oakwood Park, London, England, GB",51.6407882188,-0.1173507109
2021-06-16,Asian Lady Beetle,1.0,[],Harmonia axyridis,"[-0.0284024469, 51.5943847801]",False,2,0,"[51.5943847801, -0.0284024469]","Walthamstow, London, UK",51.5943847801,-0.0284024469
2018-06-30,Asian Lady Beetle,,[],Harmonia axyridis,"[-0.0283333333, 51.5944444444]",False,2,0,"[51.5944444444, -0.0283333333]","Walthamstow, London, UK",51.5944444444,-0.0283333333
2019-06-02,Asian Lady Beetle,,[],Harmonia axyridis,"[-0.0280555556, 51.5941666667]",True,2,0,"[51.5941666667, -0.0280555556]","Walthamstow, London, UK",51.5941666667,-0.0280555556
2021-08-27,Asian Lady Beetle,3.0,[],Harmonia axyridis,"[-0.534073381, 51.3317900592]",False,1,0,"[51.3317900592, -0.534073381]","Woking, UK",51.3317900592,-0.534073381
